#SAMPLE	HQ_HOM	HQ_HOM_RATE	HQ_HET	HQ_HET_RATE	CHARR	MEAN_REF_AB_HOM_ALT	HETEROZYGOSITY_RATE	INCONSISTENT_AB_HET_RATE
HG00742	922024	1.00000	1693739	0.99960	0.00108	0.00033	0.64751	0.01097
HG01456	911770	1.00000	1698961	0.99955	0.00087	0.00027	0.65076	0.01297
HG01989	925918	1.00000	1619448	0.99958	0.00078	0.00025	0.63623	0.01274
HG03849	941805	1.00000	1675341	0.99955	0.00106	0.00035	0.64014	0.01194
HG02820	962635	1.00000	1569052	0.99951	0.00102	0.00033	0.61977	0.01337
NA19063	1061748	1.00000	1571764	0.99952	0.00109	0.00034	0.59683	0.01032
HG03974	932391	1.00000	1657627	0.99951	0.00109	0.00035	0.64001	0.01240
NA12044	923370	1.00000	1636033	0.99954	0.00093	0.00030	0.63922	0.01144
NA19041	921549	1.00000	1531992	0.99950	0.00077	0.00025	0.62440	0.01456
HG02049	1026245	1.00000	1572316	0.99946	0.00083	0.00026	0.60507	0.01283
NA20850	955643	1.00000	1694473	0.99957	0.00096	0.00030	0.63940	0.00890
NA18947	1036194	1.00000	1529085	0.99951	0.00087	0.00028	0.59607	0.01204
HG02009	906944	1.00000	1619017	0.99951	0.00085	0.00029	0.64095	0.01438
HG02775	926294	1.00000	1624089	0.99954	0.00145	0.00046	0.63680	0.01237
NA20872	912547	1.00000	1608271	0.99934	0.00337	0.00129	0.63800	0.01353
NA19206	984830	1.00000	1581058	0.99957	0.00085	0.00028	0.61618	0.01125
HG02778	946515	1.00000	1635889	0.99950	0.00113	0.00036	0.63348	0.01512
NA20811	936132	1.00000	1651956	0.99956	0.00084	0.00026	0.63829	0.01134
NA11994	922633	1.00000	1645590	0.99953	0.00093	0.00029	0.64075	0.01175
HG00361	920239	1.00000	1620185	0.99959	0.00088	0.00027	0.63776	0.01171
NA18545	1054900	1.00000	1546745	0.99947	0.00092	0.00029	0.59453	0.01172
HG02275	1099157	1.00000	1382498	0.99941	0.00095	0.00032	0.55709	0.01338
NA19783	972148	1.00000	1544785	0.99941	0.00271	0.00101	0.61376	0.01369
NA19087	1040263	1.00000	1534323	0.99946	0.00107	0.00037	0.59595	0.01305
HG01028	1073818	1.00000	1573653	0.99954	0.00104	0.00035	0.59440	0.00961
HG01924	970728	1.00000	1626730	0.99954	0.00106	0.00033	0.62628	0.01174
HG00364	936110	1.00000	1613522	0.99956	0.00109	0.00034	0.63285	0.01124
HG00737	916512	1.00000	1684075	0.99953	0.00090	0.00028	0.64757	0.01275
HG03864	953363	1.00000	1674949	0.99953	0.00095	0.00029	0.63727	0.01163
HG01531	939019	1.00000	1579309	0.99953	0.00100	0.00033	0.62713	0.01295
HG04014	957116	1.00000	1681330	0.99894	0.00124	0.00040	0.63724	0.02745
NA19005	1039970	1.00000	1560257	0.99944	0.00091	0.00029	0.60005	0.01315
NA19098	1003767	1.00000	1594511	0.99947	0.00090	0.00030	0.61368	0.01196
HG02339	961349	1.00000	1516745	0.99948	0.00090	0.00030	0.61206	0.01357
HG02298	984257	1.00000	1562425	0.99953	0.00078	0.00025	0.61351	0.01286
HG01766	921211	1.00000	1638818	0.99955	0.00092	0.00028	0.64016	0.01095
HG03836	990622	1.00000	1600452	0.99955	0.00137	0.00047	0.61768	0.01184
NA20757	923004	1.00000	1639920	0.99957	0.00107	0.00033	0.63986	0.01147
HG03999	952186	1.00000	1701340	0.99951	0.00182	0.00062	0.64116	0.01157
NA19239	967516	1.00000	1554193	0.99951	0.00087	0.00029	0.61633	0.01351
NA19908	956889	1.00000	1664040	0.99930	0.00669	0.00274	0.63490	0.01141
NA20356	933829	1.00000	1660064	0.99952	0.00088	0.00028	0.63999	0.01250
HG01607	918377	1.00000	1616338	0.99947	0.00091	0.00029	0.63768	0.01357
HG01893	920579	1.00000	1632619	0.99953	0.00109	0.00036	0.63944	0.01320
HG02221	920232	1.00000	1606236	0.99949	0.00109	0.00037	0.63576	0.01259
HG03445	969615	1.00000	1570134	0.99948	0.00152	0.00056	0.61822	0.01336
HG03469	979464	1.00000	1558587	0.99950	0.00174	0.00061	0.61409	0.01284
HG03897	957921	1.00000	1693870	0.99948	0.00141	0.00046	0.63876	0.01110
NA20760	927282	1.00000	1645237	0.99948	0.00320	0.00115	0.63954	0.01185
NA19452	979544	1.00000	1624073	0.99951	0.00078	0.00026	0.62378	0.01190
HG03024	970685	1.00000	1533730	0.99933	0.00391	0.00155	0.61241	0.01388
NA20800	934525	1.00000	1643653	0.99958	0.00091	0.00028	0.63753	0.01108
HG02884	963950	1.00000	1555942	0.99932	0.00431	0.00172	0.61746	0.01369
NA12004	923004	1.00000	1658268	0.99956	0.00088	0.00027	0.64242	0.01139
HG04039	944188	1.00000	1689599	0.99954	0.00171	0.00059	0.64151	0.01150
HG00732	912937	1.00000	1662287	0.99955	0.00098	0.00030	0.64549	0.01246
NA12155	932056	1.00000	1622184	0.99953	0.00129	0.00043	0.63509	0.01177
HG02220	916354	1.00000	1644436	0.99954	0.00084	0.00026	0.64216	0.01208
NA18536	1014811	1.00000	1476577	0.99947	0.00106	0.00033	0.59267	0.01370
NA20767	907972	1.00000	1640094	0.99955	0.00104	0.00032	0.64366	0.01183
HG01935	1025637	1.00000	1548558	0.99949	0.00084	0.00027	0.60157	0.01202
NA20276	914343	1.00000	1669230	0.99954	0.00090	0.00029	0.64609	0.01250
HG02089	965052	1.00000	1554082	0.99953	0.00082	0.00026	0.61691	0.01300
NA21097	935515	1.00000	1613175	0.99951	0.00106	0.00032	0.63294	0.01278
HG03774	958227	1.00000	1658652	0.99953	0.00113	0.00037	0.63383	0.01117
HG02146	1067963	1.00000	1358935	0.99947	0.00091	0.00030	0.55995	0.01348
HG02188	1047958	1.00000	1518823	0.99948	0.00078	0.00025	0.59172	0.01285
HG03685	928953	1.00000	1646141	0.99948	0.00183	0.00063	0.63925	0.01243
HG03196	950311	1.00000	1541826	0.99948	0.00106	0.00036	0.61868	0.01336
HG02032	1037333	1.00000	1537707	0.99954	0.00094	0.00029	0.59716	0.01252
HG03571	996039	1.00000	1598568	0.99950	0.00100	0.00034	0.61611	0.01110
HG02082	1017696	1.00000	1505159	0.99945	0.00109	0.00037	0.59661	0.01437
HG01063	862539	1.00000	1786424	0.99959	0.00086	0.00026	0.67439	0.01145
HG02968	981555	1.00000	1551271	0.99954	0.00070	0.00023	0.61247	0.01323
NA18525	1040302	1.00000	1526733	0.99944	0.00098	0.00030	0.59475	0.01340
NA19332	973312	1.00000	1610425	0.99956	0.00089	0.00030	0.62329	0.01172
NA06985	931567	1.00000	1647170	0.99956	0.00111	0.00034	0.63875	0.01136
